date,market_ret,breadth,flag_rate,market_anomaly_flag
1987-02-12,0.0696864007556277,1.0,0.0,0
1987-02-13,-0.0097722819174175,0.0,0.0,0
1987-02-17,0.0065793532560085,1.0,0.0,0
1987-02-18,-0.0620915929884446,0.0,0.0,0
1987-02-19,-0.0418119896101145,0.0,0.0,0
1987-02-20,-0.0109091298254458,0.0,0.0,0
1987-02-23,0.0625001598414218,1.0,0.0,0
1987-02-24,0.0484431048639182,1.0,0.0,0
1987-02-25,-0.0165015569105917,0.0,0.0,0
1987-02-26,0.0369122702303581,1.0,0.0,0
1987-02-27,-0.0064722845519337,0.0,0.0,0
1987-03-02,-0.0293157128047898,0.0,0.0,0
1987-03-03,0.0,0.0,0.0,0
1987-03-04,0.0704693937356704,1.0,0.0,0
1987-03-05,0.0470222782707183,1.0,0.0,0
1987-03-06,-0.0029939949477933,0.0,0.0,0
1987-03-09,-0.0180179955792411,0.0,0.0,0
1987-03-10,0.0305809464260498,1.0,0.0,0
1987-03-11,0.0148367116200713,1.0,0.0,0
1987-03-12,0.0043861752437659,1.0,0.0,0
1987-03-13,-0.0363905152612448,0.0,0.0,0
1987-03-16,-0.0060420213454737,0.0,0.0,0
1987-03-17,0.0334343815243232,1.0,0.0,0
1987-03-18,0.0529415227116849,1.0,0.0,0
1987-03-19,0.019552662629205,1.0,0.0,0
1987-03-20,-0.01095862636773,0.0,0.0,0
1987-03-23,-0.0069253174894398,0.0,0.0,0
1987-03-24,0.006973611966355,1.0,0.0,0
1987-03-25,-0.0041548792167918,0.0,0.0,0
1987-03-26,-0.0069547323571549,0.0,0.0,0
1987-03-27,0.0280115092959383,1.0,0.0,0
1987-03-30,0.0544961980575,1.0,0.0,0
1987-03-31,0.0,0.0,0.0,0
1987-04-01,-0.0594320131327563,0.0,0.0,0
1987-04-02,0.0439566230930177,1.0,0.0,0
1987-04-03,0.0500001337749125,1.0,0.0,0
1987-04-06,-0.0050127699704798,0.0,0.0,0
1987-04-07,-0.0528967629567588,0.0,0.0,0
1987-04-08,0.0292554393207933,1.0,0.0,0
1987-04-09,-0.0180878206406746,0.0,0.0,0
1987-04-10,0.0065786277538442,1.0,0.0,0
1987-04-13,-0.0326797701071275,0.0,0.0,0
1987-04-14,0.0162164175138177,1.0,0.0,0
1987-04-15,0.0212764049836855,1.0,0.0,0
1987-04-16,0.0260417341637972,1.0,0.0,0
1987-04-20,-0.0279185602555986,0.0,0.0,0
1987-04-21,0.0156655668947942,1.0,0.0,0
1987-04-22,0.0128534684921137,1.0,0.0,0
1987-04-23,0.0,0.0,0.0,0
1987-04-24,0.0050762500233427,1.0,0.0,0
1987-04-27,0.0,0.0,0.0,0
1987-04-28,0.0732323179432927,1.0,0.0,0
1987-04-29,-0.0282353877323285,0.0,0.0,0
1987-04-30,0.00726394730161,1.0,0.0,0
1987-05-01,0.0096155243765605,1.0,0.0,0
1987-05-04,0.0190475110569754,1.0,0.0,0
1987-05-05,0.0817755585306936,1.0,0.0,0
1987-05-06,-0.0237579703004565,0.0,0.0,0
1987-05-07,0.0464601552523296,1.0,0.0,0
1987-05-08,0.0697677338909232,1.0,0.0,0
1987-05-11,-0.0276684577699056,0.0,0.0,0
1987-05-12,-0.0345524438675323,0.0,0.0,0
1987-05-13,0.0252626747931217,1.0,0.0,0
1987-05-14,0.008213838672759,1.0,0.0,0
1987-05-15,-0.0285132977740832,0.0,0.0,0
1987-05-18,-0.0335430169195863,0.0,0.0,0
1987-05-19,-0.0347067948971674,0.0,0.0,0
1987-05-20,-0.0157306662044367,0.0,0.0,0
1987-05-21,0.0182647397698509,1.0,0.0,0
1987-05-22,-0.0291479446706752,0.0,0.0,0
1987-05-26,0.0115474049017614,1.0,0.0,0
1987-05-27,0.0,0.0,0.0,0
1987-05-28,0.0616436188921505,1.0,0.0,0
1987-05-29,-0.0086019899272334,0.0,0.0,0
1987-06-01,-0.0195226700668524,0.0,0.0,0
1987-06-02,-0.0044248725260961,0.0,0.0,0
1987-06-03,0.0066663923784666,1.0,0.0,0
1987-06-04,-0.0066222458889442,0.0,0.0,0
1987-06-05,-0.0288889092358939,0.0,0.0,0
1987-06-08,0.0045765116524107,1.0,0.0,0
1987-06-09,-0.0068336158047302,0.0,0.0,0
1987-06-10,-0.0504580749267428,0.0,0.0,0
1987-06-11,-0.0579713085858007,0.0,0.0,0
1987-06-12,0.0076919889544455,1.0,0.0,0
1987-06-15,0.0,0.0,0.0,0
1987-06-16,0.0203559189937834,1.0,0.0,0
1987-06-17,0.0349134729303795,1.0,0.0,0
1987-06-18,0.0108431164690696,1.0,0.0,0
1987-06-19,-0.0035757290494742,0.0,0.0,0
1987-06-22,-0.0071767374980435,0.0,0.0,0
1987-06-23,-0.0096386910793287,0.0,0.0,0
1987-06-24,0.0194647388843782,1.0,0.0,0
1987-06-25,-0.0023868126922578,0.0,0.0,0
1987-06-26,0.0023925231969907,1.0,0.0,0
1987-06-29,-0.0047736253845152,0.0,0.0,0
1987-06-30,-0.0215824250109523,0.0,0.0,0
1987-07-01,0.0049016705143352,1.0,0.0,0
1987-07-02,-0.0243901117986709,0.0,0.0,0
1987-07-06,-0.0249997943210266,0.0,0.0,0
1987-07-07,-0.0743591632797598,0.0,0.0,0
1987-07-08,0.0332411089134796,1.0,0.0,0
1987-07-09,0.0268097147423627,1.0,0.0,0
1987-07-10,0.013054476080835,1.0,0.0,0
1987-07-13,0.0231961652647647,1.0,0.0,0
1987-07-14,0.0579345178131591,1.0,0.0,0
1987-07-15,-0.0261907736197628,0.0,0.0,0
1987-07-16,-0.0024446475817868,0.0,0.0,0
1987-07-17,0.0024506385293414,1.0,0.0,0
1987-07-20,-0.0268946558437809,0.0,0.0,0
1987-07-21,-0.0025124815714939,0.0,0.0,0
1987-07-22,0.0075565648916902,1.0,0.0,0
1987-07-23,-0.022499941975119,0.0,0.0,0
1987-07-24,0.0076725227927172,1.0,0.0,0
1987-07-27,0.0126907608704878,1.0,0.0,0
1987-07-28,-0.0025065861504962,0.0,0.0,0
1987-07-29,-0.0025124815714939,0.0,0.0,0
1987-07-30,-0.0226703012112662,0.0,0.0,0
1987-07-31,-0.0309275997475101,0.0,0.0,0
1987-08-03,-0.023936320285652,0.0,0.0,0
1987-08-04,0.0217985375445053,1.0,0.0,0
1987-08-05,0.0373331942549695,1.0,0.0,0
1987-08-06,0.0385605430341284,1.0,0.0,0
1987-08-07,0.0247529319392221,1.0,0.0,0
1987-08-10,0.0,0.0,0.0,0
1987-08-11,-0.0193242649910899,0.0,0.0,0
1987-08-12,-0.0147782442913845,0.0,0.0,0
1987-08-13,0.0299999672251387,1.0,0.0,0
1987-08-14,0.004854926590349,1.0,0.0,0
1987-08-17,0.0072456865358758,1.0,0.0,0
1987-08-18,-0.016786544432921,0.0,0.0,0
1987-08-19,0.0,0.0,0.0,0
1987-08-20,0.0268292534906944,1.0,0.0,0
1987-08-21,0.0166272427721958,1.0,0.0,0
1987-08-24,0.0443923388966833,1.0,0.0,0
1987-08-25,0.0268456126779641,1.0,0.0,0
1987-08-26,0.006536262400852,1.0,0.0,0
1987-08-27,0.0021642582354099,1.0,0.0,0
1987-08-28,0.0388769098181112,1.0,0.0,0
1987-08-31,-0.0124737219819338,0.0,0.0,0
1987-09-01,-0.0442111735343988,0.0,0.0,0
1987-09-02,0.0132162635049408,1.0,0.0,0
1987-09-03,0.0021739011579906,1.0,0.0,0
1987-09-04,-0.0281998766136424,0.0,0.0,0
